,0
639,2060
640,2520
641,1740
642,2200
643,1920
644,1620
645,1820
646,2030
647,2480
648,1850
649,2370
650,1500
651,2360
652,2120
653,1930
654,1770
655,2670
656,2230
657,1950
658,2370
659,1690
660,2450
661,2470
662,2820
663,1490
664,2570
665,1630
666,1200
667,2330
668,2200
669,2350
670,2280
671,2490
672,2010
673,1890
674,2210
675,2120
676,2090
677,2190
678,2960
679,1580
680,2800
681,2340
682,2250
683,2420
684,2080
685,1770
686,1780
687,2130
688,2040
689,2350
690,2450
691,1440
692,2770
693,2750
694,2340
695,2010
696,2280
697,1570
698,2340
699,2020
700,2330
701,1900
702,2330
703,2000
704,1810
705,2580
706,1620
707,2580
708,2010
709,2520
710,2590
711,3080
712,1990
713,2150
714,1770
715,2530
716,2260
717,1950
718,1890
719,1830
720,2740
721,2290
722,2880
723,2140
724,1830
725,1590
726,1880
727,1720
728,1750
729,2160
730,2010
731,2250
732,2200
733,2380
734,1660
735,2040
736,2250
737,1840
738,2460
739,2370
740,2520
741,2350
742,1860
743,1730
744,1720
745,2590
746,2060
747,3030
748,1990
749,3300
750,1990
751,2130
752,1930
753,1360
754,1520
755,2170
756,2010
757,2530
758,1910
759,2050
760,2420
761,3060
762,1420
763,2090
764,3020
765,2300
766,1800
767,1390
768,1780
769,2450
770,2220
771,1700
772,2970
773,2050
774,1570
775,2550
776,2910
777,1650
778,1610
779,2300
780,2400
781,2520
782,2100
783,1800
784,1640
785,2250
786,2070
787,1980
788,2080
789,2060
790,2350
791,2040
792,1920
793,2220
794,2270
795,2440
796,1860
797,1680
798,2090
799,2440
800,2120
801,2720
802,2140
803,1690
804,2450
805,2030
806,2220
807,2250
808,2030
809,2210
810,1180
811,2100
812,2090
813,2950
814,2520
815,2380
816,2620
817,1480
818,2750
819,1460
820,1490
821,1860
822,1920
823,2080
824,2750
825,2780
826,2240
827,2050
828,2160
829,2440
830,2080
831,2020
832,2940
833,2240
834,2650
835,2460
836,1810
837,2570
838,2700
839,2110
840,2310
841,2420
842,2260
843,2040
844,2330
845,2310
846,1670
847,1920
848,1880
849,2290
850,2020
851,2760
852,2580
853,1700
854,1870
855,2330
856,1990
857,1570
858,2240
859,1500
860,2320
861,1620
862,2070
863,2370
864,2390
865,2020
866,1480
867,2270
868,1820
869,2240
870,1970
871,1760
872,2400
873,2290
874,2240
875,2100
876,2020
877,2270
878,1970
879,2750
880,2660
881,2820
882,1400
883,1610
884,2140
885,2540
886,1960
887,1550
888,1890
889,2380
890,2110
891,1880
892,2470
893,2510
894,2210
895,2770
896,2020
897,2390
898,1670
899,1810
900,2000
901,2060
902,2230
903,2980
904,2040
905,2360
906,2330
907,2040
908,1570
909,2050
910,1370
911,1470
912,2200
913,2360
914,2810
915,2350
916,2380
917,2000
918,1640
919,1910
920,1880
921,2070
922,1500
923,2620
924,2270
925,2060
926,2040
927,1880
928,2040
929,2280
930,1660
931,2370
932,2020
933,2300
934,1580
935,2550
936,2410
937,2270
938,1910
939,2330
940,2620
941,2310
942,1560
943,2170
944,1940
945,2900
946,2380
947,2050
948,2200
949,2080
950,2760
951,1640
952,2360
953,2750
954,2190
955,1830
956,1490
957,2410
958,2310
959,2080
960,2090
961,1430
962,1580
963,2160
964,1940
965,2460
966,2430
967,2460
968,3000
969,2460
970,2190
971,2080
972,2350
973,2150
974,1950
975,2170
976,2490
977,1890
978,1900
979,1730
980,1520
981,3310
982,1820
983,1580
984,1760
985,2370
986,2370
987,2330
988,1620
989,2640
990,2380
991,2450
992,2210
993,2290
994,2220
995,1950
996,1760
997,2150
998,2260
999,2250
